[SPECTANO CSV]
Version           ;Decimal                 ;Field separator
1.2               ;,                       ;";"

[GENERAL SETTINGS]
Tester name       ;Comment                 ;Test cell type
André             ;                        ;Disk electrodes

[MEASUREMENTS]
ID                ;Name                    ;Temperature [°C]          ;Humidity [%]       ;Material type                    ;Serial number                ;PDC output voltage (DC) [V]     ;FDS output voltage (AC) [V];c0                  ;Sample thickness [m];Measurement started
1                 ;Reference 1             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;3,40498927273472E-10;5,26E-05            ;
2                 ;Reference 2             ;24,6                      ;46                 ;                                 ;                             ;                                ;200                        ;                    ;                    ;
3                 ;ELAN-Luft-ohne Elektrode;26,3                      ;45                 ;ELAN Film 125 Luft ohne Elektrode;ELAN125                      ;                                ;200                        ;1,40582759612124E-10;0,0001274           ;2022-07-01 07:14:34Z

[FDS RESULTS]
ID                ;Frequency [Hz]          ;Tanδ                      ;εr'                ;εr''                             ;|Z| [Ω]                      ;Phase of Z [°]                  ;|Y| [S]                    ;Phase of Y [°]      ;Cp [F]              ;Rp [Ω]              ;c' [F]              ;c'' [F]              ;R [Ω]           ;X [Ω]
3                 ;20                      ;0,00524042290121128       ;1,85057155765553   ;-0,00969777757106827             ;30587657,9909738             ;-89,699748633381                ;3,26929247180381E-08       ;89,699748633381     ;2,60158456434921E-10;5836948384,57487    ;2,60158456434921E-10;-1,36334033304534E-12;160290,0625     ;-30587238
3                 ;40                      ;0,00432477327047338       ;1,84750549274961   ;-0,00799004237209626             ;15319277,2612965             ;-89,7522102891017               ;6,52772309648354E-08       ;89,7522102891017    ;2,59727420569297E-10;3542248244,20815    ;2,59727420569297E-10;-1,1232622060871E-12 ;66251,78125     ;-15319134
3                 ;50                      ;0,00412258525567793       ;1,84654903927932   ;-0,00761255584321918             ;12261780,197497              ;-89,7637946023201               ;8,15542265391553E-08       ;89,7637946023201    ;2,59592959701004E-10;2974319179,69228    ;2,59592959701004E-10;-1,07019410814115E-12;50549,8046875   ;-12261676
3                 ;70                      ;0,00386586428707606       ;1,84519205508403   ;-0,00713326206854585             ;8764864,49430689             ;-89,7785033955912               ;1,14091895048639E-07       ;89,7785033955912    ;2,5940219111808E-10 ;2267262722,69959    ;2,5940219111808E-10 ;-1,00281366663267E-12;33883,5234375   ;-8764799
3                 ;90                      ;0,00372103810691225       ;1,84420432731543   ;-0,00686235457887319             ;6820771,72013717             ;-89,7868012050553               ;1,46610976152108E-07       ;89,7868012050553    ;2,59263333622624E-10;1833041948,14098    ;2,59263333622624E-10;-9,64728744134889E-13;25380,17578125  ;-6820724,5
3                 ;110                     ;0,00362886681169334       ;1,84343071529589   ;-0,00668956454239338             ;5582975,25982846             ;-89,7920821599391               ;1,79115964778738E-07       ;89,7920821599391    ;2,59154577110049E-10;1538500118,52426    ;2,59154577110049E-10;-9,40437443973078E-13;20259,740234375 ;-5582938,5
3                 ;130                     ;0,00357375967198902       ;1,84277976196044   ;-0,00658565199765175             ;4725725,67762376             ;-89,7952395255151               ;2,11607712384785E-07       ;89,7952395255151    ;2,59063064293772E-10;1322348531,85022    ;2,59063064293772E-10;-9,25829131674982E-13;16888,5         ;-4725695,5
3                 ;200                     ;0,00347026999350108       ;1,8411907813603    ;-0,00638942912086544             ;3074373,76182674             ;-89,801168973758                ;3,25269494690788E-07       ;89,801168973758     ;2,58839681016034E-10;885923077,893791    ;2,58839681016034E-10;-8,98243578157333E-13;10668,8427734375;-3074355,25
3                 ;500                     ;0,00357509047379288       ;1,83779640701066   ;-0,00657028842747459             ;1232020,37331821             ;-89,7951632771625               ;8,11674889195777E-07       ;89,7951632771625    ;2,58362490502805E-10;344614564,503499    ;2,58362490502805E-10;-9,23669278581981E-13;4404,55615234375;-1232012,5
3                 ;800                     ;0,00370146400740269       ;1,83598453217303   ;-0,00679583066398654             ;770772,280057967             ;-89,7879227028981               ;1,29740005689462E-06       ;89,7879227028981    ;2,5810777213806E-10 ;208235865,217276    ;2,5810777213806E-10 ;-9,55376628599923E-13;2852,96630859375;-770767
3                 ;1000                    ;0,00383028373058125       ;1,83506605647735   ;-0,00702882366066711             ;616926,150434641             ;-89,7805419811241               ;1,62093955539974E-06       ;89,7805419811241    ;2,57978650290124E-10;161066573,469965    ;2,57978650290124E-10;-9,88131427043575E-13;2362,98486328125;-616921,625
3                 ;1500                    ;0,00413247461078563       ;1,83341457148083   ;-0,00757653916768896             ;411654,077434621             ;-89,7632279936634               ;2,42922408598958E-06       ;89,7632279936634    ;2,57746479971856E-10;99615274,4229429    ;2,57746479971856E-10;-1,06513078450306E-12;1701,13549804688;-411650,5625
3                 ;2000                    ;0,00437632112313273       ;1,83200694654332   ;-0,00801745069788342             ;308977,458754468             ;-89,7492568706021               ;3,23648205286929E-06       ;89,7492568706021    ;2,57548592173641E-10;70602775,4462612    ;2,57548592173641E-10;-1,1271153441626E-12 ;1352,17163085938;-308974,5
3                 ;2500                    ;0,00459668970903119       ;1,83085760110746   ;-0,00841588429371217             ;247336,894268005             ;-89,736630934888                ;4,04306847532595E-06       ;89,736630934888     ;2,5738701402052E-10 ;53808180,0099894    ;2,5738701402052E-10 ;-1,18312823858639E-12;1136,9189453125 ;-247334,28125
3                 ;3000                    ;0,00479922802379623       ;1,82986250857045   ;-0,00878192743082538             ;206225,968668028             ;-89,7250266004191               ;4,84904983818866E-06       ;89,7250266004191    ;2,57247121165598E-10;42971149,2329296    ;2,57247121165598E-10;-1,23458759293884E-12;989,714050292969;-206223,59375
